model,question_id,question,category,difficulty,question_type,kb_supported,expected_source,latency_ms,llm_latency_ms,embedding_latency_ms,similarity_search_latency_ms,total_chunks_searched,top_k,context_sent_length,response_length_chars,correctness_score,relevance_score,hallucination,retrieval_quality_score,expected_source_found,ranks_matched,scoring_method,keyword_overlap,top1_filename,top1_score,top2_filename,top2_score,top3_filename,top3_score,error,response_preview
codellama:latest,Q01,What is the Central Goods and Services Tax (CGST) Act?,GST,Easy,Definition,True,cgst_act.pdf,37449,37201,40,32,590,3,4618,383,2,0.6,False,1,True,"[1, 2, 3]",keyword_overlap,0.7143,cgst_act.pdf,0.697437,cgst_act.pdf,0.692146,cgst_act.pdf,0.686818,,"The Central Goods and Services Tax Act, 2017, is an Indian law that provides for levy and collection of tax on intra-State supply of goods or services"
codellama:latest,Q02,What is the meaning of 'aggregate turnover' under the CGST Act?,GST,Easy,Definition,True,cgst_act.pdf,39625,37421,1814,228,590,3,4618,342,2,0.3333,False,1,True,"[1, 2, 3]",keyword_overlap,0.7097,cgst_act.pdf,0.698868,cgst_act.pdf,0.661366,cgst_act.pdf,0.658762,,"The word ""aggregate turnover"" refers to the sum of all the taxable goods or services that are provided or received by a person, excluding the value of"
codellama:latest,Q03,Who is liable for registration under the CGST Act?,GST,Medium,Eligibility,True,cgst_act.pdf,34984,32881,1595,241,590,3,4618,405,1,1.0,False,1,True,"[1, 2, 3]",keyword_overlap,0.2692,cgst_act.pdf,0.684234,cgst_act.pdf,0.684065,cgst_act.pdf,0.665687,,"Under section 22 of the Central Goods and Services Tax (CGST) Act, a person who makes a taxable supply of goods or services or both from any place in "
codellama:latest,Q04,What are the conditions a registered person must satisfy to claim Input Tax Credit (ITC) under the CGST Act?,GST,Hard,Compliance,True,cgst_act.pdf,50672,,,,,,,,0,0.0,False,,,[],,,,,,,,,URLError: Internal Server Error,
codellama:latest,Q05,What is a 'composite supply' under the CGST Act and how is it taxed?,GST,Medium,Definition,True,cgst_act.pdf,40049,39824,33,121,590,3,4618,940,2,0.6667,False,1,True,"[1, 2, 3]",keyword_overlap,0.8235,cgst_act.pdf,0.772442,cgst_act.pdf,0.671882,cgst_act.pdf,0.664832,,"A composite supply refers to a supply made by a taxable person to a recipient consisting of two or more taxable supplies of goods or services, which a"
codellama:latest,Q06,What are the penalties for committing fraud or wilful misstatement under the CGST Act?,GST,Hard,Policy/Legal Rule,True,cgst_act.pdf,39920,39628,122,147,590,3,4622,766,1,0.875,False,1,True,[3],keyword_overlap,0.3043,it_act.pdf,0.701323,it_act.pdf,0.689512,cgst_act.pdf,0.68715,,"The penalties for committing fraud or wilful misstatement under the CGST Act can be quite severe. The act provides for a fine of up to 50,000 rupees i"
codellama:latest,Q07,What is the validity period of registration for a casual taxable person under the CGST Act?,GST,Medium,Policy/Legal Rule,True,cgst_act.pdf,26296,26138,72,26,590,3,4618,214,2,0.8889,False,1,True,"[1, 2, 3]",keyword_overlap,0.6667,cgst_act.pdf,0.782487,cgst_act.pdf,0.754308,cgst_act.pdf,0.742563,,"The validity period of registration for a casual taxable person under the CGST Act is 90 days from the effective date of registration, or until the is"
codellama:latest,Q08,"Under the CGST Act, is an agriculturist required to register for GST on the supply of agricultural produce?",GST,Easy,Eligibility,True,cgst_act.pdf,38245,,,,,,,,0,0.0,False,,,[],,,,,,,,,URLError: Internal Server Error,
codellama:latest,Q09,What is the GST rate applicable to export of goods from India?,GST,Medium,Tax/GST,False,cgst_act.pdf,32938,32858,34,32,590,3,4618,255,0,0.8571,True,1,True,"[1, 2, 3]",refusal_check,,cgst_act.pdf,0.698603,cgst_act.pdf,0.69387,cgst_act.pdf,0.679896,,"The GST rate applicable for the export of goods from India is 18%. This can be found in Section 39 of the CGST Act, which states that ""the tax payable"
codellama:latest,Q10,"Who is defined as a 'consumer' under the Consumer Protection Act, 2019?",Consumer Protection,Easy,Definition,True,consumer_act.pdf,32927,32706,174,25,590,3,4660,254,1,0.5,False,1,True,"[1, 2, 3]",keyword_overlap,0.2778,consumer_act.pdf,0.750879,consumer_act.pdf,0.723559,consumer_act.pdf,0.682639,,"A consumer is defined as any person who purchases goods or services from a trader or service provider. The definition also includes minor consumers, l"
codellama:latest,Q11,"What are the six consumer rights recognised under the Consumer Protection Act, 2019?",Consumer Protection,Medium,Policy/Legal Rule,True,consumer_act.pdf,41965,41751,158,31,590,3,4660,707,1,0.5,False,1,True,"[1, 2, 3]",keyword_overlap,0.3793,consumer_act.pdf,0.76223,consumer_act.pdf,0.756105,consumer_act.pdf,0.751581,,"The Consumer Protection Act, 2019 recognises the following six consumer rights:  1. Right to information on goods and services offered by any seller o"
codellama:latest,Q12,"What constitutes an 'unfair trade practice' under the Consumer Protection Act, 2019?",Consumer Protection,Medium,Definition,True,consumer_act.pdf,50191,,,,,,,,0,0.0,False,,,[],,,,,,,,,URLError: Internal Server Error,
codellama:latest,Q13,"How can a consumer file a complaint under the Consumer Protection Act, 2019, and where should it be filed?",Consumer Protection,Medium,Compliance,True,consumer_act.pdf,40020,39913,64,39,590,3,4660,713,0,0.875,False,1,True,"[1, 2, 3]",keyword_overlap,0.16,consumer_act.pdf,0.775518,consumer_act.pdf,0.740022,consumer_act.pdf,0.729684,," A consumer can file a complaint under the Consumer Protection Act, 2019 by filing an electronic complaint with the Central Consumer Protection Author"
codellama:latest,Q14,"What is product liability under the Consumer Protection Act, 2019?",Consumer Protection,Hard,Definition,True,consumer_act.pdf,55602,55432,127,22,590,3,4660,1363,2,0.8333,False,1,True,"[1, 2, 3]",keyword_overlap,0.7647,consumer_act.pdf,0.736135,consumer_act.pdf,0.731675,consumer_act.pdf,0.709066,,"Product liability under the Consumer Protection Act, 2019 refers to the legal responsibility of a manufacturer, service provider, or seller for harm c"
codellama:latest,Q15,What compensation can a consumer receive under the Consumer Protection Act if they suffer loss due to a defective product?,Consumer Protection,Hard,Eligibility,True,consumer_act.pdf,49683,,,,,,,,0,0.0,False,,,[],,,,,,,,,URLError: Internal Server Error,
codellama:latest,Q16,"What is the purpose of the Information Technology Act, 2000?",Information Technology,Easy,Definition,True,it_act.pdf,39806,39736,33,27,590,3,4624,729,2,0.75,False,1,True,"[1, 2, 3]",keyword_overlap,0.8846,it_act.pdf,0.695144,it_act.pdf,0.683299,it_act.pdf,0.609952,,"The purpose of the Information Technology Act, 2000 (ITA 2000) is to provide legal recognition for transactions carried out by means of electronic dat"
codellama:latest,Q17,"What is the penalty for unauthorised access to a computer system under the IT Act, 2000?",Information Technology,Medium,Policy/Legal Rule,True,it_act.pdf,29483,29199,236,31,590,3,4624,163,2,0.7143,False,1,True,"[1, 2, 3]",keyword_overlap,0.4,it_act.pdf,0.759895,it_act.pdf,0.723245,it_act.pdf,0.72307,,"The penalty for unauthorized access to a computer system under the IT Act, 2000 is imprisonment up to three years or with fine which may extend to two"
codellama:latest,Q18,"What is a 'protected system' under the IT Act, 2000, and what are the consequences of unauthorised access to it?",Information Technology,Hard,Policy/Legal Rule,True,it_act.pdf,75648,,,,,,,,0,0.0,False,,,[],,,,,,,,,URLError: Internal Server Error,
codellama:latest,Q19,"Under the IT Act, 2000, can a company be held liable for a cyber offence committed by one of its employees?",Information Technology,Hard,Compliance,True,it_act.pdf,37765,37626,85,32,590,3,4636,659,1,1.0,False,1,True,[3],keyword_overlap,0.2,cgst_act.pdf,0.745173,essential_commodities.pdf,0.731154,it_act.pdf,0.712371,,"Yes, under the IT Act, 2000, a company can be held liable for a cyber offense committed by one of its employees. The Act provides that where an offens"
codellama:latest,Q20,"What is the meaning of 'cyber security' as defined in the IT Act, 2000?",Information Technology,Easy,Definition,True,it_act.pdf,30326,29247,992,65,590,3,4624,247,2,0.4,False,1,True,"[1, 2, 3]",keyword_overlap,0.7895,it_act.pdf,0.678807,it_act.pdf,0.6786,it_act.pdf,0.661044,,"The IT Act defines ""cyber security"" as protecting information, equipment, devices, computer, computer resource, communication device and information s"
codellama:latest,Q21,"What is the Essential Commodities Act, 1955, and what is its purpose?",Essential Commodities,Easy,Definition,True,essential_commodities.pdf,38327,38222,61,31,590,3,4666,468,2,0.75,False,1,True,"[1, 2, 3]",keyword_overlap,0.8125,essential_commodities.pdf,0.789891,essential_commodities.pdf,0.71124,essential_commodities.pdf,0.707279,,"The Essential Commodities Act, 1955, was an act passed in India to control the production, supply, and distribution of certain essential commodities. "
codellama:latest,Q22,What powers does the Central Government have to control the supply and distribution of essential commodities?,Essential Commodities,Medium,Policy/Legal Rule,True,essential_commodities.pdf,54380,,,,,,,,0,0.0,False,,,[],,,,,,,,,URLError: Internal Server Error,
codellama:latest,Q23,"What is the punishment for violating an order issued under the Essential Commodities Act, 1955?",Essential Commodities,Medium,Policy/Legal Rule,True,essential_commodities.pdf,40563,40477,30,35,590,3,4666,383,2,0.875,False,1,True,"[1, 2, 3]",keyword_overlap,0.4,essential_commodities.pdf,0.757663,essential_commodities.pdf,0.754105,essential_commodities.pdf,0.733525,,"The punishment for violating an order issued under the Essential Commodities Act, 1955, is imprisonment for a term which may extend to one year and sh"
codellama:latest,Q24,Can a company be held liable for an offence committed under the Essential Commodities Act?,Essential Commodities,Hard,Compliance,True,essential_commodities.pdf,45431,44102,1255,46,590,3,4650,787,2,0.875,False,1,True,"[2, 3]",keyword_overlap,0.85,cgst_act.pdf,0.771537,essential_commodities.pdf,0.738199,essential_commodities.pdf,0.727376,,"Yes, a company can be held liable for an offense committed under the Essential Commodities Act. Section 10 of the Essential Commodities Act provides t"
codellama:latest,Q25,What is the income tax slab rate for individuals earning between 5 lakh and 10 lakh rupees per year in India?,Out-of-scope,Easy,Tax/GST,False,none,33229,32532,584,24,590,3,4618,108,0,0.9091,True,,,[],refusal_check,,cgst_act.pdf,0.718591,cgst_act.pdf,0.689663,cgst_act.pdf,0.678557,,The income tax slab rate for individuals earning between 5 lakh and 10 lakh rupees per year in India is 20%.
qwen2.5:0.5b,Q01,What is the Central Goods and Services Tax (CGST) Act?,GST,Easy,Definition,True,cgst_act.pdf,49817,,,,,,,,0,0.0,False,,,[],,,,,,,,,URLError: Internal Server Error,
qwen2.5:0.5b,Q02,What is the meaning of 'aggregate turnover' under the CGST Act?,GST,Easy,Definition,True,cgst_act.pdf,10113,10037,48,23,590,3,4618,1387,2,0.8333,False,1,True,"[1, 2, 3]",keyword_overlap,0.5161,cgst_act.pdf,0.698868,cgst_act.pdf,0.661366,cgst_act.pdf,0.658762,,"The meaning of ""aggregate turnover"" as it relates to the CGST Act is:  1. It refers to the sum of all taxable supplies, exempt supplies, exports, and "
qwen2.5:0.5b,Q03,Who is liable for registration under the CGST Act?,GST,Medium,Eligibility,True,cgst_act.pdf,4228,4123,77,22,590,3,4618,110,1,0.5,False,1,True,"[1, 2, 3]",keyword_overlap,0.2692,cgst_act.pdf,0.684234,cgst_act.pdf,0.684065,cgst_act.pdf,0.665687,,The person whose aggregate turnover in a financial year exceeds twenty lakh rupees is liable for registration.
qwen2.5:0.5b,Q04,What are the conditions a registered person must satisfy to claim Input Tax Credit (ITC) under the CGST Act?,GST,Hard,Compliance,True,cgst_act.pdf,6355,6300,32,22,590,3,4618,723,0,0.9091,False,1,True,"[1, 2, 3]",keyword_overlap,0.1364,cgst_act.pdf,0.72973,cgst_act.pdf,0.729094,cgst_act.pdf,0.721357,,The conditions a registered person must satisfy to claim Input Tax Credit (ITC) under the CGST Act are:  1. The registered person is either paying tax
qwen2.5:0.5b,Q05,What is a 'composite supply' under the CGST Act and how is it taxed?,GST,Medium,Definition,True,cgst_act.pdf,5576,5511,37,23,590,3,4618,381,2,0.6667,False,1,True,"[1, 2, 3]",keyword_overlap,0.7647,cgst_act.pdf,0.772442,cgst_act.pdf,0.671882,cgst_act.pdf,0.664832,,A 'composite supply' under the CGST Act refers to a supply made by a taxable person to a recipient consisting of two or more taxable supplies of goods
qwen2.5:0.5b,Q06,What are the penalties for committing fraud or wilful misstatement under the CGST Act?,GST,Hard,Policy/Legal Rule,True,cgst_act.pdf,5700,5626,44,26,590,3,4622,479,1,0.875,False,1,True,[3],keyword_overlap,0.2174,it_act.pdf,0.701323,it_act.pdf,0.689512,cgst_act.pdf,0.68715,,"Based on the information provided in the context, the penalties for committing fraud or wilful misstatement under the CGST Act include:  1. Imprisonme"
qwen2.5:0.5b,Q07,What is the validity period of registration for a casual taxable person under the CGST Act?,GST,Medium,Policy/Legal Rule,True,cgst_act.pdf,5824,5751,41,26,590,3,4618,410,2,0.8889,False,1,True,"[1, 2, 3]",keyword_overlap,0.6,cgst_act.pdf,0.782487,cgst_act.pdf,0.754308,cgst_act.pdf,0.742563,,"The validity period of registration for a casual taxable person under the CGST Act is specified in sub-section (1) of section 27. Specifically, ""A cas"
qwen2.5:0.5b,Q08,"Under the CGST Act, is an agriculturist required to register for GST on the supply of agricultural produce?",GST,Easy,Eligibility,True,cgst_act.pdf,6004,5946,33,22,590,3,4618,531,2,1.0,False,1,True,"[1, 2, 3]",keyword_overlap,0.8889,cgst_act.pdf,0.771567,cgst_act.pdf,0.659396,cgst_act.pdf,0.649067,,"Yes, according to the provided document, under the CGST Act, a person who is engaged exclusively in the supply of agricultural produce shall be requir"
qwen2.5:0.5b,Q09,What is the GST rate applicable to export of goods from India?,GST,Medium,Tax/GST,False,cgst_act.pdf,4768,4718,25,23,590,3,4618,61,0,0.8571,True,1,True,"[1, 2, 3]",refusal_check,,cgst_act.pdf,0.698603,cgst_act.pdf,0.69387,cgst_act.pdf,0.679896,,The GST rate applicable to export of goods from India is 15%.
qwen2.5:0.5b,Q10,"Who is defined as a 'consumer' under the Consumer Protection Act, 2019?",Consumer Protection,Easy,Definition,True,consumer_act.pdf,6393,6316,46,26,590,3,4660,512,1,0.75,False,1,True,"[1, 2, 3]",keyword_overlap,0.2222,consumer_act.pdf,0.750879,consumer_act.pdf,0.723559,consumer_act.pdf,0.682639,,"According to the Consumer Protection Act, 2019:  1. A consumer means—    - A person who is a citizen of India or any state of India and engages in con"
qwen2.5:0.5b,Q11,"What are the six consumer rights recognised under the Consumer Protection Act, 2019?",Consumer Protection,Medium,Policy/Legal Rule,True,consumer_act.pdf,6309,6221,54,28,590,3,4660,504,2,0.6667,False,1,True,"[1, 2, 3]",keyword_overlap,0.4483,consumer_act.pdf,0.76223,consumer_act.pdf,0.756105,consumer_act.pdf,0.751581,,"The six consumer rights recognized under the Consumer Protection Act, 2019 are:  1. Right to be informed about products/services and prices. 2. Right "
qwen2.5:0.5b,Q12,"What constitutes an 'unfair trade practice' under the Consumer Protection Act, 2019?",Consumer Protection,Medium,Definition,True,consumer_act.pdf,6569,6477,57,26,590,3,4660,1056,2,0.75,False,1,True,"[1, 2, 3]",keyword_overlap,0.5833,consumer_act.pdf,0.736157,consumer_act.pdf,0.706771,consumer_act.pdf,0.701911,,"According to the policy documents provided in the context, an ""unfair trade practice"" under the Consumer Protection Act, 2019 includes:  - Making any "
qwen2.5:0.5b,Q13,"How can a consumer file a complaint under the Consumer Protection Act, 2019, and where should it be filed?",Consumer Protection,Medium,Compliance,True,consumer_act.pdf,5994,5929,42,22,590,3,4660,455,0,0.75,False,1,True,"[1, 2, 3]",keyword_overlap,0.16,consumer_act.pdf,0.775518,consumer_act.pdf,0.740022,consumer_act.pdf,0.729684,,"To file a complaint under the Consumer Protection Act, 2019, the consumer should first contact a District Council. This is specified in section 3 of t"
qwen2.5:0.5b,Q14,"What is product liability under the Consumer Protection Act, 2019?",Consumer Protection,Hard,Definition,True,consumer_act.pdf,4521,4425,69,24,590,3,4660,145,2,0.8333,False,1,True,"[1, 2, 3]",keyword_overlap,0.4118,consumer_act.pdf,0.736135,consumer_act.pdf,0.731675,consumer_act.pdf,0.709066,,"The product liability under the Consumer Protection Act, 2019, is when a product manufacturer or service provider has a defect in their products."
qwen2.5:0.5b,Q15,What compensation can a consumer receive under the Consumer Protection Act if they suffer loss due to a defective product?,Consumer Protection,Hard,Eligibility,True,consumer_act.pdf,4861,4796,37,24,590,3,4660,624,1,0.5455,False,1,True,"[1, 2, 3]",keyword_overlap,0.3684,consumer_act.pdf,0.751703,consumer_act.pdf,0.705506,consumer_act.pdf,0.697598,,"If you are in a consumer protection dispute where a product is causing harm, you may be able to obtain some form of compensation. The Consumer Protect"
qwen2.5:0.5b,Q16,"What is the purpose of the Information Technology Act, 2000?",Information Technology,Easy,Definition,True,it_act.pdf,5367,5283,49,28,590,3,4624,413,2,0.5,False,1,True,"[1, 2, 3]",keyword_overlap,0.8462,it_act.pdf,0.695144,it_act.pdf,0.683299,it_act.pdf,0.609952,,"The Information Technology Act, 2000 (ITA) was enacted with the goal of providing legal recognition for transactions carried out by means of electroni"
qwen2.5:0.5b,Q17,"What is the penalty for unauthorised access to a computer system under the IT Act, 2000?",Information Technology,Medium,Policy/Legal Rule,True,it_act.pdf,6434,6371,38,24,590,3,4624,383,0,0.8571,False,1,True,"[1, 2, 3]",keyword_overlap,0.15,it_act.pdf,0.759895,it_act.pdf,0.723245,it_act.pdf,0.72307,,The answer provided does not contain the specific information requested in the question. It appears to be a direct quote from another document rather 
qwen2.5:0.5b,Q18,"What is a 'protected system' under the IT Act, 2000, and what are the consequences of unauthorised access to it?",Information Technology,Hard,Policy/Legal Rule,True,it_act.pdf,5889,5823,40,23,590,3,4624,532,2,0.5714,False,1,True,"[1, 2, 3]",keyword_overlap,0.65,it_act.pdf,0.76268,it_act.pdf,0.71419,it_act.pdf,0.706133,,"A 'protected system' under the Information Technology Act, 2000, means any computer resource that directly or indirectly affects the facility of Criti"
qwen2.5:0.5b,Q19,"Under the IT Act, 2000, can a company be held liable for a cyber offence committed by one of its employees?",Information Technology,Hard,Compliance,True,it_act.pdf,6804,6705,71,23,590,3,4636,665,1,1.0,False,1,True,[3],keyword_overlap,0.2,cgst_act.pdf,0.745173,essential_commodities.pdf,0.731154,it_act.pdf,0.712371,,"Yes, according to the provided context, a company could be held liable for a cyber offense committed by one of its employees. The policy documents men"
qwen2.5:0.5b,Q20,"What is the meaning of 'cyber security' as defined in the IT Act, 2000?",Information Technology,Easy,Definition,True,it_act.pdf,5636,5534,73,23,590,3,4624,266,2,0.8,False,1,True,"[1, 2, 3]",keyword_overlap,0.8947,it_act.pdf,0.678807,it_act.pdf,0.6786,it_act.pdf,0.661044,,"The meaning of 'cyber security' as defined in the IT Act, 2000 is protecting information, equipment, devices, computer resources, communication device"
